State,County Name,"Median
Home Price
Q4 2021","Monthly
Payment
Q4 2021","Monthly
Payment
Q4 2020",Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,Population,,
Alaska,Sitka City and Borough,420149,1611,1373,$907 ,"$1,040 ","$1,229 ","$1,715 ","$2,009 ","8,493",,
Alaska,Southeast Fairbanks Census Area,200233,768,654,$927 ,$933 ,"$1,228 ","$1,744 ","$1,955 ","6,893",,
Alaska,Valdez-Cordova Census Area,260338,998,851,$764 ,$987 ,"$1,150 ","$1,422 ","$1,968 ","9,202",,
Alaska,Yakutat City and Borough,237022,909,775,$833 ,$910 ,"$1,198 ","$1,481 ","$1,797 ",579,,
Alaska,Yukon-Koyukuk Census Area,89630,344,293,$594 ,$750 ,$855 ,"$1,215 ","$1,282 ","5,230",,
Arizona,Apache County,102603,393,298,$567 ,$653 ,$854 ,"$1,121 ","$1,204 ","71,887",,
Arizona,Cochise County,212378,814,618,$686 ,$690 ,$907 ,"$1,288 ","$1,552 ","125,922",,
Arizona,Coconino County,436369,1673,1268,"$1,138 ","$1,166 ","$1,474 ","$1,868 ","$2,245 ","143,476",,
Arizona,Gila County,228651,877,665,$780 ,$785 ,"$1,033 ","$1,416 ","$1,421 ","54,018",,
Arizona,Graham County,191278,733,556,$821 ,$824 ,$957 ,"$1,359 ","$1,517 ","38,837",,
Arizona,Greenlee County,115567,443,336,$573 ,$752 ,$857 ,"$1,069 ","$1,201 ","9,498",,
Arizona,La Paz County,109223,419,318,$710 ,$808 ,"$1,063 ","$1,446 ","$1,523 ","21,108",,
Arizona,Maricopa County,417752,1601,1195,"$1,005 ","$1,091 ","$1,311 ","$1,825 ","$2,078 ","4,485,414",,
Arizona,Mohave County,259690,995,762,$667 ,$766 ,$969 ,"$1,364 ","$1,539 ","212,181",,
Arizona,Navajo County,204103,782,594,$633 ,$715 ,$941 ,"$1,237 ","$1,307 ","110,924",,
Arizona,Pima County,284460,1090,845,$665 ,$761 ,"$1,001 ","$1,422 ","$1,685 ","1,047,279",,
Arizona,Pinal County,303496,1163,868,"$1,005 ","$1,091 ","$1,311 ","$1,825 ","$2,078 ","462,789",,
Arizona,Santa Cruz County,208516,799,607,$574 ,$643 ,$846 ,"$1,143 ","$1,147 ","46,498",,
Arizona,Yavapai County,393160,1507,1142,$733 ,$894 ,"$1,103 ","$1,537 ","$1,724 ","235,099",,
Arizona,Yuma County,189830,728,564,$725 ,$736 ,$968 ,"$1,375 ","$1,657 ","213,787",,
Arkansas,Arkansas County,105854,406,344,$514 ,$527 ,$694 ,$858 ,$941 ,"17,486",,
Arkansas,Ashley County,91278,350,297,$481 ,$570 ,$649 ,$819 ,"$1,052 ","19,657",,
Arkansas,Baxter County,159379,611,518,$525 ,$547 ,$709 ,$876 ,$978 ,"41,932",,
Arkansas,Benton County,270864,1038,811,$658 ,$695 ,$865 ,"$1,229 ","$1,481 ","279,141",,
Arkansas,Boone County,148506,569,482,$481 ,$569 ,$649 ,$922 ,$951 ,"37,432",,
Arkansas,Bradley County,107288,411,349,$481 ,$511 ,$649 ,$874 ,"$1,111 ","10,763",,
Arkansas,Calhoun County,83632,321,272,$549 ,$563 ,$741 ,$916 ,"$1,060 ","5,189",,
Arkansas,Carroll County,163560,627,531,$443 ,$507 ,$667 ,$825 ,$905 ,"28,380",,
Arkansas,Chicot County,83274,319,271,$522 ,$525 ,$649 ,$907 ,"$1,066 ","10,118",,
Arkansas,Clark County,133333,511,433,$484 ,$570 ,$649 ,$891 ,"$1,024 ","22,320",,
Arkansas,Clay County,92473,354,300,$490 ,$493 ,$649 ,$802 ,"$1,061 ","14,551",,
Arkansas,Cleburne County,155197,595,504,$523 ,$537 ,$706 ,$873 ,$957 ,"24,919",,
Arkansas,Cleveland County,110202,422,369,$563 ,$578 ,$760 ,$950 ,"$1,097 ","7,956",,
Arkansas,Columbia County,97849,375,318,$490 ,$493 ,$649 ,$876 ,$914 ,"23,457",,
Arkansas,Conway County,128554,493,418,$481 ,$493 ,$649 ,$898 ,"$1,038 ","20,846",,
Arkansas,Craighead County,186084,713,609,$553 ,$648 ,$832 ,"$1,078 ","$1,390 ","110,332",,
Arkansas,Crawford County,141489,542,447,$559 ,$562 ,$740 ,"$1,031 ","$1,165 ","63,257",,
Arkansas,Crittenden County,144909,555,453,$694 ,$792 ,$912 ,"$1,219 ","$1,404 ","47,955",,
Arkansas,Cross County,102867,394,334,$519 ,$532 ,$700 ,$926 ,"$1,198 ","16,419",,
Arkansas,Dallas County,84110,322,273,$481 ,$493 ,$649 ,$922 ,$928 ,"7,009",,
Arkansas,Desha County,83990,322,273,$481 ,$499 ,$649 ,$870 ,"$1,084 ","11,361",,
Arkansas,Drew County,119235,457,387,$494 ,$507 ,$667 ,$847 ,$954 ,"18,219",,
Arkansas,Faulkner County,205156,786,661,$706 ,$728 ,$833 ,"$1,118 ","$1,330 ","126,007",,
Arkansas,Franklin County,123926,475,391,$505 ,$547 ,$649 ,$806 ,"$1,015 ","17,715",,
